"","ws_id","area","precip_mn","R_nexus","carbon_ha","awy_ha"
"48",48,1751,1193.31584948689,0.876941308726253,2042.18032552827,7028.46316747721
"49",49,1835,1196.1513987932,0.923160117283893,2328.39972752044,7019.62718991328
"50",50,2784,1184.99674502712,0.919538415682201,1330.55594468391,8029.28229424542
"51",51,3068,1203.85621340273,0.951267344333369,2333.15710560626,7114.86067882347
"52",52,5723,1186.45800571837,0.903214216353136,2198.73580290058,6971.38364825618
"53",53,2313,1172.62683347714,0.975644365148753,2548.06874189364,7576.63712031878
"54",54,1,1187,0.938154612365942,1348.11108398438,7391.18375674993
"55",55,2927,1207.83772680589,0.936910859614826,1247.75734540485,9547.68425639732
"56",56,1,1189,0.94993745331459,1088.88891601562,6703.92405601992
"57",57,2083,1199.65257087938,0.960360306442549,1624.50300048008,7074.70456797289
"58",58,1737,1168.49518304432,0.934115380808906,2581.51525618883,7508.57934302206
"59",59,503,1199.4371257485,0.87910034143913,1943.58909045726,7050.54754752621
"60",60,286,1198.53979238754,0.97953613102691,2644.68881118881,7076.81940852519
"61",61,1,1200,0.972361991339207,1167.11108398438,6550.37655626797
"62",62,3112,1196.0928,0.953601083938879,2097.29659383033,7708.85340159783
"63",63,4,1200,0.933784653713803,2941.66674804688,7042.48272513233
"64",64,1,1176,0.937324770775346,2687.33325195312,7457.72283222448
"65",65,1588,1183.77580747308,0.832494041898635,2515.13381612091,7736.68434406018
"66",66,1531,1198.44364351245,0.937132116189691,1218.37328543436,9156.14142494199
"67",67,3900,1208.60379779317,0.937017923589097,2280.44333333333,7231.50422033507
"68",68,1567,1197.35057471264,0.98445914731853,2693.9671346522,7048.6798486732
"69",69,4901,1216.63214869281,0.963350690058438,2575.92593348296,7229.32799915154
"70",70,2188,1213.1063441351,0.974471574381434,1462.20715265082,7302.8183428439
"71",71,1,1196,0.941405614485261,1545,7003.6862219948
"72",72,2012,1204.61075161772,0.944896529737805,2711.13220675944,7129.86360266995
"73",73,1785,1199.24892703863,0.859583414947045,2397.26218487395,7099.78723488279
"74",74,1709,1202.24721080446,0.990774962071279,2655.13136337039,7597.60671906296
"75",75,8633,1195.26105882353,0.938245679502213,2582.23352252983,7763.79275660812
"76",76,1871,1214.3614522157,0.884903822761858,1586.71753073223,7430.13080939428
"77",77,4249,1217.24020764512,0.893959014176223,2320.70746057896,7279.92016390189
"78",78,665,1215.80873493976,0.949253676539334,1577.22462406015,7259.64136980219
"79",79,6951,1215.44825051455,0.855405722932362,2519.2841317796,7272.18745011647
"80",80,378,1213,0.985545772420595,1864.55621693122,7548.73739034168
"81",81,1482,1219.4949014276,0.951628565220586,2023.65924426451,8056.3610371227
"82",82,1,1213,0.941171482901377,1500,7179.47207672259
"83",83,1394,1215.67338129496,0.867138783011485,2566.31617647059,7249.99545744179
"84",84,2438,1224.39133986928,0.907023219209083,2446.80106644791,7665.28503523339
"85",85,10,1225,0.987156976652331,2347.622265625,7346.75340701582
"86",86,49,1224.6,0.978890193105248,2034.24489795918,7527.39740125619
"87",87,3617,1227.68998057175,0.968251070075786,2139.2738457285,7438.73381357662
"88",88,3123,1223.91800643087,0.94615045602316,2408.97886647454,8103.18910573918
"89",89,2322,1225.86802250108,0.956523654761102,2701.72157622739,7695.8953978568
"90",90,1590,1231.1778334377,0.935497661241493,2460.01399371069,7368.78218543717
"91",91,3064,1231.24110929853,0.682882710233344,2364.45218668407,7898.06165640415
"92",92,5061,1200.45875571457,0.951201188950724,2640.22900612527,7817.42720303193
"93",93,4074,1230.39754299754,0.87817808930953,2727.43053510064,8036.90257835612
"94",94,3899,1226.4527963058,0.974412863456651,2649.72864837138,8142.98353711866
"95",95,324,1222.80696202532,0.856127015024007,2419.02604166667,7306.29620959482
"96",96,3574,1227.875769446,0.98199556752377,2196.7245383324,7425.13759324461
"97",97,1253,1231.53413654618,0.983713406143057,2473.57402234637,7427.95085132477
"98",98,5348,1225.91158106747,0.898552862327902,2562.07853403141,7935.39142936423
"99",99,1672,1239.65199286139,0.90734498751685,2547.47996411483,7723.20054867185
"100",100,1,1222,0.951991594723116,3000,8018.88434514002
"101",101,1526,1228.93298291721,0.604726405361576,2724.75802752294,8076.46611066927
"102",102,825,1237.91293833132,0.777982879583247,2606.86212121212,7421.29102538218
"103",103,10,1229.8,0.922473929115204,2837.4,7993.3159487124
"104",104,1989,1229.21478873239,0.881845865272307,2711.27752639517,8070.15687435199
"105",105,2962,1211.15592305096,0.950401909224557,2623.59891964889,7923.53535372683
"106",106,1,1234,0.907454973851497,3000,6810.60516225077
"107",107,420,1234,0.857757925956573,2703.08898809524,7437.48589000562
"108",108,49,1177.55263157895,0.940665283254999,2482.56919642857,7676.79847837827
"109",109,1738,1211.57216200799,0.827502323187516,2686.71346375144,7924.58610445313
"110",110,4862,1240.49175280405,0.969305374703749,2701.11703002879,8107.68119686139
"111",111,5331,1240.20067580252,0.475287882345733,2591.38773213281,7929.79370914259
"112",112,1,1232,0.950485210746938,2541.33325195312,8131.09727190489
"113",113,1,1232,0.978531546978755,2082.66674804688,8131.1237676427
"114",114,1,1232,0.970858169085033,2970,8131.09724201872
"115",115,6189,1235.63115472227,0.94108438182225,2680.37033446437,8226.75423883349
"116",116,1,1232,0.620503554669764,2763.33325195312,8131.07074629111
"117",117,1,1232,0.865300497837696,2675.11108398438,7998.14100046114
"118",118,2314,1241.78637362637,0.917258477456376,2566.18820224719,7969.4150669797
"119",119,1906,1221.10441767068,0.453820818059052,2583.14926547744,8068.46291620293
"120",120,220,1243,0.554986281413822,2429.93380681818,8303.44994338081
